Fecha,Mes,Anio,Periodo,Nro_Factura,Orden,Cod_OPP,Cod_RM,Cliente,Sector,Cod_Producto,Producto,Categoria,Marca,Vendedor,Equipo,Cantidad,Precio_Unit,Moneda,TC,Venta_USD,Costo_USD,Margen_USD,Pct_Margen,Venta_PEN,Costo_PEN,Cuenta_Venta
25/08/2026,8,2026,2026-08,F 004-00002256,026-0012089,OPP-0000000122,RM-24672 | RM-24673 | RM-24671,CONSORCIO FRAP S.A.C.,Agroindustria y Alimentos,91000001,SERVICIO MANTENIMIENTO,SERV. CLIENTE / VARIOS LINEA / VARIOS,,Manuel Alvarez,VENTAS-MANTENIMIENTO,4.0,2750.0,USD,3.356,10120.0,1349.11,8770.89,0.8667,33962.72,4527.62,7032100 Servicio de mantenimiento
25/08/2026,8,2026,2026-08,F 004-00002257,026-0011831,OPP-0000000206,RM-24564,RESEMIN S.A.,Metalmecánica / Siderurgia,92000001,SERVICIO REPARACION,SERV. CLIENTE / VARIOS LINEA / VARIOS,,Rintusac,VENTAS-MANTENIMIENTO,1.0,795.0,USD,3.356,795.0,1433.5,-638.5,-0.8031,2668.02,4810.82,7032110 Servicio de reparación
25/08/2026,8,2026,2026-08,F 004-00002258,026-0011984,,RM-24519,RESEMIN S.A.,Metalmecánica / Siderurgia,91000001,SERVICIO MANTENIMIENTO,SERV. CLIENTE / VARIOS LINEA / VARIOS,,Rintusac,VENTAS-MANTENIMIENTO,1.0,775.0,USD,3.356,775.0,1434.53,-659.53,-0.851,2600.9,4814.29,7032100 Servicio de mantenimiento
25/08/2026,8,2026,2026-08,F 004-00002259,026-0012038,,RM-24627,RESEMIN S.A.,Metalmecánica / Siderurgia,92000001,SERVICIO REPARACION,SERV. CLIENTE / VARIOS LINEA / VARIOS,,Rintusac,VENTAS-MANTENIMIENTO,1.0,764.0,USD,3.356,764.0,1517.22,-753.22,-0.9859,2563.98,5091.8,7032110 Servicio de reparación
25/08/2026,8,2026,2026-08,F 004-00002260,026-0011777,,RM-24514 | RM-24515,VOLCAN COMPANIA MINERA S.A.A.,Mining,92000001,SERVICIO REPARACION,SERV. CLIENTE / VARIOS LINEA / VARIOS,,Arnold Hernández,VENTAS-FABRICACION,1.0,9760.0,USD,3.356,8588.8,2433.9,6154.9,0.7166,28824.01,8168.15,7032110 Servicio de reparación
25/08/2026,8,2026,2026-08,F 004-00002260,026-0011777,,RM-24514 | RM-24515,VOLCAN COMPANIA MINERA S.A.A.,Mining,92000001,SERVICIO REPARACION,SERV. CLIENTE / VARIOS LINEA / VARIOS,,Arnold Hernández,VENTAS-FABRICACION,1.0,6790.0,USD,3.356,5975.2,1693.25,4281.95,0.7166,20052.77,5682.55,7032110 Servicio de reparación
25/08/2026,8,2026,2026-08,F 004-00002261,026-0012103,OPP-0000000221,,VOLCAN COMPANIA MINERA S.A.A.,Mining,40200108,ENFRIADOR OIL HIDR. BOWMAN GL140 3928-2 (3P) 90 / 10,ORIGINAL / BOWMAN / ENFRIADORES,Bowman,Arnold Hernández,VENTAS-COMERCIALIZACION,1.0,2363.0,USD,3.356,2363.0,1111.19,1251.81,0.5298,7930.23,331.11,7012100 Mercaderías - Mercaderías - venta local - Terceros
25/08/2026,8,2026,2026-08,F 004-00002261,026-0012103,OPP-0000000221,,VOLCAN COMPANIA MINERA S.A.A.,Mining,40200108,ENFRIADOR OIL HIDR. BOWMAN GL140 3928-2 (3P) 90 / 10,ORIGINAL / BOWMAN / ENFRIADORES,Bowman,Arnold Hernández,VENTAS-COMERCIALIZACION,1.0,2363.0,USD,3.356,2363.0,1111.19,1251.81,0.5298,7930.23,331.11,7012100 Mercaderías - Mercaderías - venta local - Terceros
25/08/2026,8,2026,2026-08,F 004-00002262,026-0012023,OPP-0000000153,RM-24625,PAN AMERICAN SILVER HUARON S.A.,Mining,92000001,SERVICIO REPARACION,SERV. CLIENTE / VARIOS LINEA / VARIOS,,Arnold Hernández,VENTAS-MANTENIMIENTO,1.0,5390.0,USD,3.356,4851.0,1621.82,3229.18,0.6657,16279.96,5442.84,7032110 Servicio de reparación
25/08/2026,8,2026,2026-08,F 004-00002263,026-0012133,OPP-0000000258,,GRUPO ASEGA S.A.C.,Servicios / Otros,40200015,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,ORIGINAL / BOWMAN / ENFRIADORES,Bowman,Arnold Hernández,VENTAS-COMERCIALIZACION,1.0,1300.0,USD,3.356,1300.0,618.49,681.51,0.5242,4362.8,184.29,7012100 Mercaderías - Mercaderías - venta local - Terceros
