Cotizacion,Cod_Oportunidad,Fecha,Periodo,Vendedor,Cliente,Estado,Producto,Codigo,Marca,Cantidad,Precio_Unit,Monto_Sin_IGV
026-0012109,,2026-08-18,2026-08,Mercedes Quispe,CIA MINERA RAURA S A,Cancelada,SERVICIO DE MANTENIMIENTO Y REPARACION,97000001,Otros,1.0,10530.0,8950.5
026-0012110,OPP-0000000225,2026-08-21,2026-08,Jeancarlos Castillo,TECNOMECANICA SERVICIOS HIDRAULICOS SOCIEDAD ANONIMA CERRADA,Cancelada,ENFRIADOR SISTEMA DE ACEITE P / C4.4 P / N.HTX- 656549 -91 v4,40600164,Heatex,3.0,800.0,2400.0
026-0012111,,2026-08-19,2026-08,Arnold Hernández,FRESOMAC  S.A.C.,Cancelada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,1.0,1540.0,1232.0
026-0012112,OPP-0000000227,2026-08-19,2026-08,Jeancarlos Castillo,HYDEXCORP S.A.C.,Cancelada,HAZ TUBULAR BOWMAN FG120 TUBO 90 / 10 BAFLE / AL 1959-3TN1A,40200070,Bowman,1.0,1030.0,896.1
026-0012112,OPP-0000000227,2026-08-19,2026-08,Jeancarlos Castillo,HYDEXCORP S.A.C.,Cancelada,ORING NITRILO 2-349 ( Ø5.33 * 113.67) FG120,10240115,Bowman,2.0,10.0,17.4
026-0012113,,2026-08-19,2026-08,Jeancarlos Castillo,ECOCRUCEROS S.A.C.,Cancelada,ENFRIADOR OIL HIDR. BOWMAN EC120 1425-3 (3P) 90 / 10,40200110,Bowman,1.0,640.0,624.0
026-0012114,,2026-08-19,2026-08,Jeancarlos Castillo,MUNDO CALOR PERU S.A.C.,Confirmada,FLEJE ACERO GALVANIZADO 0.4 MM X 10 MM ,10320069,Otros,30.45,25.5,776.48
026-0012115,OPP-0000000228,2026-08-21,2026-08,Arnold Hernández,OPERACIONES MINERAS SAN PEDRO SOCIEDAD ANONIMA CERRADA,Confirmada,SERVICIO REPARACION,92000001,,1.0,1199.48,1199.48
026-0012117,,2026-08-19,2026-08,Rintusac,RESEMIN S.A.,Cancelada,CARCASA BOWMAN GL320 1428-4TC CASCO AL  (copiar),40200249,Bowman,1.0,2000.0,2000.0
026-0012118,,2026-08-21,2026-08,Jeancarlos Castillo,HYDEXCORP S.A.C.,Confirmada,ENFRIADOR OIL HIDR. BOWMAN FG120 3427-3 (3P),40200017,Bowman,1.0,1540.0,1540.0
026-0012119,,2026-08-19,2026-08,Mario Li,TERMOTEM PERU S.A.C.,Cancelada,INTERCAMBIADOR SOLDADO CBH16-17H BPHE / 3287099032,40100203,Alfa Laval,1.0,290.0,290.0
026-0012120,,2026-08-19,2026-08,Mario Li,INDUSTRIAL EXCHANGER TUBILLAS S.A.C.,Enviada,JUNTA ANULAR M10BW-NBRP-C / PEAK RING GASKET GPHE / 3233016196,40100617,Alfa Laval,40.0,28.7,1148.0
026-0012121,OPP-0000000246,2026-08-20,2026-08,Arnold Hernández,MINERA GIGANTE SRL.,Confirmada,ORING VITON BOWMAN FG OS52VT,40200210,Bowman,2.0,27.0,54.0
026-0012122,OPP-0000000248,2026-08-20,2026-08,Arnold Hernández,MINERA GIGANTE SRL.,Confirmada,SERVICIO DE EVALUACION,90000011,,1.0,120.0,120.0
026-0012123,OPP-0000000238,2026-08-25,2026-08,Jeancarlos Castillo,RESEMIN S.A.,Borrador,ENFRIADOR DE ACEITE HIDR. HTXDC-011P-02-N-BW 24V DC (copiar),40600390,Heatex,10.0,450.0,4500.0
026-0012123,OPP-0000000238,2026-08-25,2026-08,Jeancarlos Castillo,RESEMIN S.A.,Borrador,ENFRIADOR DE ACEITE HIDRAULICO PARKER 016 (A539016) (copiar),40600330,Heatex,11.0,1998.0,21978.0
026-0012123,OPP-0000000238,2026-08-25,2026-08,Jeancarlos Castillo,RESEMIN S.A.,Borrador,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,20.0,1070.0,21400.0
026-0012123,OPP-0000000238,2026-08-25,2026-08,Jeancarlos Castillo,RESEMIN S.A.,Borrador,ENFRIADOR OIL HIDR. BOWMAN GL240 1428-4TC (3P) COBRE,40200034,Bowman,7.0,2060.0,14420.0
026-0012124,OPP-0000000237,2026-08-21,2026-08,Manuel Alvarez,INNOVA CHILLTEC S.A.C.,Enviada,SERVICIO MANTENIMIENTO,91000001,,1.0,750.0,750.0
026-0012125,OPP-0000000249,2026-08-28,2026-08,Jeancarlos Castillo,LA LLAVE S.A.,Confirmada,SERVICIO REPARACION,92000001,,1.0,1790.0,1790.0
026-0012126,OPP-0000000241,2026-08-21,2026-08,Manuel Alvarez,OPP FILM S.A.,Enviada,SERVICIO MANTENIMIENTO,91000001,,15.0,425.0,6247.5
026-0012126,OPP-0000000241,2026-08-21,2026-08,Manuel Alvarez,OPP FILM S.A.,Enviada,SERVICIO MANTENIMIENTO,91000001,,15.0,425.0,6247.5
026-0012127,OPP-0000000242,2026-08-27,2026-08,Arnold Hernández,OPERACIONES MINERAS SAN PEDRO SOCIEDAD ANONIMA CERRADA,Confirmada,SERVICIO REPARACION,92000001,,1.0,790.0,790.0
026-0012128,,2026-08-21,2026-08,Mario Li,MECANICA FINA INDUSTRIAL EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,Cancelada,FK/ARM. T5M-FG ALS SS Pipe ISO 228-G 2B LC287 NBRP GPHE/ 8061028145 ,40100805,Alfa Laval,1.0,1600.0,1600.0
026-0012129,,2026-08-21,2026-08,Manuel Alvarez,SERVICIOS MINEROS RF S.A.C.,Cancelada,ENFRIADOR OIL HIDR. BOWMAN GL140 3928-2 (3P) 90/10 REMAN,60300034,Bowman,1.0,1780.0,1780.0
026-0012130,,2026-08-21,2026-08,Jeancarlos Castillo,SOLUCIONES EN PROYECTOS DE ALIMENTOS S.A.C.,Cancelada,SERVICIO MANTENIMIENTO,91000001,,88.0,37.5,3300.0
026-0012130,,2026-08-21,2026-08,Jeancarlos Castillo,SOLUCIONES EN PROYECTOS DE ALIMENTOS S.A.C.,Cancelada,SERVICIO MANTENIMIENTO,91000001,,88.0,27.0,2376.0
026-0012131,OPP-0000000251,2026-08-21,2026-08,Jeancarlos Castillo,CORPORACION MACMINING E.I.R.L.,Enviada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,2.0,1260.0,2520.0
026-0012132,OPP-0000000255,2026-08-24,2026-08,Arnold Hernández,ADMINISTRACION DE EMPRESAS S.A.C.,Confirmada,RADIADOR DE REFRIGERANTE TD 3F P/ CAT R1600H 522-2621 ,20100211,CAT,1.0,6390.0,6390.0
026-0012133,OPP-0000000258,2026-08-24,2026-08,Arnold Hernández,GRUPO ASEGA S.A.C.,Confirmada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,1.0,1300.0,1300.0
026-0012134,,2026-08-24,2026-08,Mario Li,TP INTERCAMBIADORES S.A.C.,Cancelada,JUNTA PLACA DR6P-NBRB CG / Rib LP GASKET GPHE / 390084041307,40100340,Alfa Laval,29.0,25.35,735.15
026-0012134,,2026-08-24,2026-08,Mario Li,TP INTERCAMBIADORES S.A.C.,Cancelada,JUNTA PLACA DR6P-NBRP / CG / LP GASKET GPHE / 390084041306,40100598,Alfa Laval,30.0,33.18,995.4
026-0012134,,2026-08-24,2026-08,Mario Li,TP INTERCAMBIADORES S.A.C.,Cancelada,JUNTA PLACA DR6P-NBRP / CG GASKET II GPHE / 390084041406,40100338,Alfa Laval,2.0,49.75,99.5
026-0012135,,2026-08-24,2026-08,Mario Li,TP INTERCAMBIADORES S.A.C.,Cancelada,JUNTA PLACA DR6P-NBRP / CG / LP GASKET GPHE / 390084041306,40100598,Alfa Laval,59.0,34.93,2060.87
026-0012135,,2026-08-24,2026-08,Mario Li,TP INTERCAMBIADORES S.A.C.,Cancelada,JUNTA PLACA DR6P-NBRP / CG GASKET II GPHE / 390084041406,40100338,Alfa Laval,2.0,49.75,99.5
026-0012136,OPP-0000000259,2026-08-25,2026-08,Manuel Alvarez,MAQUIRENA S.A.C.,Confirmada,COMBICOOLER 845483 P/. DESATADOR PAUS PSCALE 8T (copiar),40600415,Heatex,1.0,1800.0,1800.0
026-0012137,OPP-0000000259,2026-08-24,2026-08,Manuel Alvarez,MAQUIRENA S.A.C.,Enviada,RADIADOR COMPLETO ACEITE/AGUA/ACEITE PAUS PSCALE 8T,40600545,Heatex,1.0,4995.0,4995.0
026-0012138,OPP-0000000262,2026-08-25,2026-08,Mercedes Quispe,OVERPRIME MANUFACTURING S.A.C.,Borrador,ENFRIADOR OIL HIDR. BOWMAN GL180 1428-3 (3P) 90 / 10,40200026,Bowman,2.0,2080.0,4160.0
026-0012139,OPP-0000000263,2026-09-05,2026-09,Arnold Hernández,RESEMIN S.A.,Confirmada,SERVICIO REPARACION,92000001,,1.0,520.0,520.0
026-0012140,,2026-08-25,2026-08,Mercedes Quispe,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Cancelada,SERVICIO MANTENIMIENTO,91000001,,1.0,3290.0,3290.0
026-0012141,OPP-0000000265,2026-08-26,2026-08,Jeancarlos Castillo,TECNOMECANICA SERVICIOS HIDRAULICOS SOCIEDAD ANONIMA CERRADA,Confirmada,ENFRIADOR HIDRAULICO BAP COMPLETO CMS1/O/24V/002 66337005,40600503,Heatex,5.0,980.0,4900.0
026-0012142,OPP-0000000266,2026-09-01,2026-09,Jeancarlos Castillo,ROBOCON SERVICIOS S.A.C.,Confirmada,KIT ENFRIADOR REFR / AIRE / OIL P / NORMET TCD2013 54825770 C/C,40600592,Heatex,4.0,2150.0,8600.0
026-0012143,,2026-08-25,2026-08,Arnold Hernández,ATLAS COPCO PERU S.A.C.,Cancelada,SERVICIO REPARACION,92000001,,1.0,3980.0,3980.0
026-0012144,,2026-08-25,2026-08,Arnold Hernández,ATLAS COPCO PERU S.A.C.,Cancelada,SERVICIO REPARACION,92000001,,1.0,4980.0,4980.0
026-0012145,OPP-0000000269,2026-09-02,2026-09,Arnold Hernández,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Confirmada,INTERCOOLER P/CAT C6.6 365-2908 BAP S/ALEROS,20100283,Otros,1.0,1850.0,1850.0
026-0012146,OPP-0000000270,2026-08-26,2026-08,Jeancarlos Castillo,KOMATSU-MITSUI MAQUINARIAS PERU S.A.,Borrador,SERVICIO REPARACION,92000001,,1.0,5800.0,5800.0
026-0012147,OPP-0000000273,2026-08-26,2026-08,Jeancarlos Castillo,KOMATSU-MITSUI MAQUINARIAS PERU S.A.,Borrador,KIT DE ENFRIAMIENTO SIST. HID. P/. LHD KOMATSU WX07,20100157,RINTUSAC,1.0,2190.0,2124.3
