Cotizacion,Cod_Oportunidad,Fecha,Periodo,Vendedor,Cliente,Estado,Producto,Codigo,Marca,Cantidad,Precio_Unit,Monto_Sin_IGV
026-0012099,,2026-08-17,2026-08,Jeancarlos Castillo,ANTESA S.A.C.,Cancelada,SELLO DESMONT. S / CANAL HEATEX 721201T V2,40600477,Heatex,109.0,6.5,708.5
026-0012100,,2026-08-18,2026-08,Arnold Hernández,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Cancelada,RADIADOR 371314 P/. HAULAGE TRUCK KOMATSU 16TD,40600327,Heatex,1.0,7250.0,7250.0
026-0012101,OPP-0000000220,2026-08-19,2026-08,Arnold Hernández,HYDROMINING GROUP S.A.C.,Confirmada,ENFRIADOR DE ACEITE HIDR. HTXDC-011P-02-N-BW 24V DC (copiar),40600390,Heatex,1.0,590.0,590.0
026-0012101,OPP-0000000220,2026-08-19,2026-08,Arnold Hernández,HYDROMINING GROUP S.A.C.,Confirmada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,1.0,1309.0,1276.28
026-0012102,OPP-0000000061,2026-08-24,2026-08,Manuel Alvarez,MOTORES DIESEL ANDINOS S.A.- MODASA,Confirmada,SERVICIO MANTENIMIENTO,91000001,,1.0,350.0,350.0
026-0012103,OPP-0000000221,2026-08-18,2026-08,Arnold Hernández,VOLCAN COMPANIA MINERA S.A.A.,Confirmada,ENFRIADOR OIL HIDR. BOWMAN GL140 3928-2 (3P) 90 / 10,40200108,Bowman,1.0,2363.0,2363.0
026-0012103,OPP-0000000221,2026-08-18,2026-08,Arnold Hernández,VOLCAN COMPANIA MINERA S.A.A.,Confirmada,ENFRIADOR OIL HIDR. BOWMAN GL140 3928-2 (3P) 90 / 10,40200108,Bowman,1.0,2363.0,2363.0
026-0012104,,2026-08-18,2026-08,Arnold Hernández,MINERA GIGANTE SRL.,Cancelada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,1.0,1580.0,1311.4
026-0012105,OPP-0000000148,2026-08-21,2026-08,Mercedes Quispe,GESTION MINERA INTEGRAL S.A.C.,Confirmada,SERVICIO MANTENIMIENTO,91000001,,1.0,680.0,680.0
026-0012106,,2026-08-18,2026-08,Mario Li,RAMIREZ ILATOMA SANTOS ELOY,Cancelada,INTERCAMBIADOR SOLDADO ACH-230DQ-70H-F BPHE / 3287084569,40100315,Alfa Laval,1.0,3450.0,3450.0
026-0012107,,2026-08-18,2026-08,Jeancarlos Castillo,ECOCRUCEROS S.A.C.,Cancelada,ORING NITRILO BOWMAN EC AN12NT,40200139,Bowman,2.0,8.0,13.6
026-0012107,,2026-08-18,2026-08,Jeancarlos Castillo,ECOCRUCEROS S.A.C.,Cancelada,SERVICIO MANTENIMIENTO,91000001,,1.0,150.0,150.0
026-0012108,,2026-08-18,2026-08,Mercedes Quispe,CIA MINERA RAURA S A,Cancelada,OTROS SERVICIOS,,,1.0,0,0
026-0012108,,2026-08-18,2026-08,Mercedes Quispe,CIA MINERA RAURA S A,Cancelada,SERVICIO DE MANTENIMIENTO Y REPARACION,97000001,Otros,1.0,9890.0,8307.6
