Fecha,Mes,Anio,Periodo,Nro_Factura,Orden,Cod_OPP,Cod_RM,Cliente,Sector,Vendedor,Equipo,Moneda,TC,Venta_USD,Costo_USD,Margen_USD,Pct_Margen,Venta_PEN,Costo_PEN,Cuenta_Venta
14/08/2026,8,2026,2026-08,F 004-00002221,026-0011829,OPP-0000000352,RM-24525,METAL TECNICA S A,Wholesale/Retail,Manuel Alvarez,VENTAS-MANTENIMIENTO,USD,3.371,355.0,52.98,302.02,0.8508,1196.7,178.58,
14/08/2026,8,2026,2026-08,F 004-00002222,026-0012058,OPP-0000000088,,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Construcción / EPC / Contratistas,Arnold Hernández,VENTAS-COMERCIALIZACION,USD,3.371,2190.0,410.24,1779.76,0.8127,7382.49,121.7,
14/08/2026,8,2026,2026-08,F 004-00002223,026-0012050,OPP-0000000082,RM-24631,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Construcción / EPC / Contratistas,Arnold Hernández,VENTAS-COMERCIALIZACION,USD,3.371,4693.0,1191.28,3501.72,0.7462,15820.1,4015.81,
14/08/2026,8,2026,2026-08,F 004-00002225,,,,SERVICIOS Y EQUIPOS AMAZONICOS S.A.C,Transportation/Logistics,Arnold Hernández,VENTAS-MANTENIMIENTO,USD,3.371,2550.0,2550.0,0.0,0.0,8596.05,756.45,
14/08/2026,8,2026,2026-08,F 004-00002226,026-0012080,OPP-0000000133,RM-24645,L & G INTERNATIONAL PARTS S.A.C.,Automotriz / Transporte,Rintusac,VENTAS-MANTENIMIENTO,USD,3.371,734.83,0.0,734.83,1.0,2477.11,0.0,
15/08/2026,8,2026,2026-08,F 004-00002227,026-0011692,,,OYOLA ALFARO RONAL RODY,Servicios / Otros,Jeancarlos Castillo,VENTAS-FABRICACION,USD,3.368,3563.2,12762.74,-9199.54,-2.5818,12000.86,3789.41,
17/08/2026,8,2026,2026-08,F 004-00002229,026-0011533,,RM-24364,COMPAÑIA MINERA CHUNGAR S.A.C.,Mining,Arnold Hernández,VENTAS-MANTENIMIENTO,USD,3.368,4745.25,2450.2,2295.05,0.4837,15982.0,8252.27,
17/08/2026,8,2026,2026-08,F 004-00002230,026-0012047,,,TECNOMECANICA SERVICIOS HIDRAULICOS SOCIEDAD ANONIMA CERRADA,Servicios / Otros,Jeancarlos Castillo,VENTAS-COMERCIALIZACION,USD,3.368,980.0,337.51,642.49,0.6556,3300.64,100.21,
17/08/2026,8,2026,2026-08,F 004-00002231,026-0012073,OPP-0000000105,RM-24641,IESA S A,Servicios / Otros,Arnold Hernández,VENTAS-COMERCIALIZACION,USD,3.368,1150.0,885.74,264.26,0.2298,3873.2,2983.18,
17/08/2026,8,2026,2026-08,F 004-00002232,026-0011591,OPP-0000000355,RM-24675,RESEMIN S.A.,Metalmecánica / Siderurgia,Rintusac,VENTAS-FABRICACION,USD,3.368,1290.0,1447.46,-157.46,-0.1221,4344.72,4875.05,
