Fecha,Mes,Anio,Periodo,Nro_Factura,Orden,Cod_OPP,Cod_RM,Cliente,Sector,Vendedor,Equipo,Moneda,TC,Venta_USD,Costo_USD,Margen_USD,Pct_Margen,Venta_PEN,Costo_PEN,Cuenta_Venta
08/09/2026,9,2026,2026-09,F 004-00002296,026-0011839,OPP-0000000362,,RESEMIN S.A.,Metalmecánica / Siderurgia,Rintusac,VENTAS-FABRICACION,USD,3.372,8560.0,5133.16,3426.84,0.4003,28864.32,1522.29,
08/09/2026,9,2026,2026-09,F 004-00002297,026-0012235,OPP-0000000375,,L & M REPUESTOS Y SUMINISTROS S.A.C.,Servicios / Otros,Arnold Hernández,VENTAS-COMERCIALIZACION,USD,3.372,1598.0,967.07,630.93,0.3948,5388.46,286.79,
08/09/2026,9,2026,2026-09,F 004-00002298,026-0012180,OPP-0000000304,,FRESOMAC  S.A.C.,Metalmecánica / Siderurgia,Arnold Hernández,VENTAS-COMERCIALIZACION,USD,3.372,1232.0,641.65,590.35,0.4792,4154.3,190.29,
09/09/2026,9,2026,2026-09,F 004-00002299,026-0012070,OPP-0000000098,RM-24652,KOMATSU-MITSUI MAQUINARIAS PERU S.A.,Servicios / Otros,Jeancarlos Castillo,VENTAS-MANTENIMIENTO,USD,3.36,1840.0,186.5,1653.5,0.8986,6182.4,626.64,
09/09/2026,9,2026,2026-09,F 004-00002300,026-0012215,OPP-0000000340,,GEOTECH DRILLING PRODUCTS S.A.C.,Servicios / Otros,Mercedes Quispe,VENTAS-COMERCIALIZACION,USD,3.36,460.0,251.61,208.39,0.453,1545.6,74.88,
09/09/2026,9,2026,2026-09,F 004-00002301,026-0012198,OPP-0000000320,,RESEMIN S.A.,Metalmecánica / Siderurgia,Rintusac,VENTAS-COMERCIALIZACION,USD,3.36,450.0,202.58,247.42,0.5498,1512.0,60.29,
09/09/2026,9,2026,2026-09,F 004-00002302,026-0012234,OPP-0000000374,,RESEMIN S.A.,Metalmecánica / Siderurgia,Rintusac,VENTAS-COMERCIALIZACION,USD,3.36,450.0,202.52,247.48,0.55,1512.0,60.27,
10/09/2026,9,2026,2026-09,F 004-00002303,026-0012205,OPP-0000000329,,ROBOCON SERVICIOS S.A.C.,Servicios / Otros,Jeancarlos Castillo,VENTAS-COMERCIALIZACION,USD,3.362,980.0,340.22,639.78,0.6528,3294.76,101.2,
11/09/2026,9,2026,2026-09,F 004-00002304,026-0011993,OPP-0000000028,RM-24614,FAMAX SEAL PERU S.A.C,Servicios / Otros,Manuel Alvarez,VENTAS-MANTENIMIENTO,USD,3.373,954.0,551.19,402.81,0.4222,3217.84,1859.15,
11/09/2026,9,2026,2026-09,F 004-00002305,026-0012186,OPP-0000000309,,VOLCAN COMPANIA MINERA S.A.A.,Mining,Arnold Hernández,VENTAS-COMERCIALIZACION,USD,3.373,2363.0,1115.82,1247.18,0.5278,7970.4,330.81,
11/09/2026,9,2026,2026-09,F 004-00002306,026-0011972,OPP-0000000008,,COMPAÑIA MINERA CHUNGAR S.A.C.,Mining,Arnold Hernández,VENTAS-COMERCIALIZACION,USD,3.373,9723.5,111.57,9611.93,0.9885,32797.37,33.08,
12/09/2026,9,2026,2026-09,F 004-00002307,026-0011964,OPP-0000000089,,CATALINA HUANCA SOCIEDAD MINERA S.A.C.,Mining,Mercedes Quispe,VENTAS-COMERCIALIZACION,USD,3.371,6370.0,1978.83,4391.17,0.6894,21473.27,587.02,
12/09/2026,9,2026,2026-09,F 004-00002308,026-0012213,OPP-0000000337,,TP INTERCAMBIADORES S.A.C.,Metalmecánica / Siderurgia,Rintusac,VENTAS-COMERCIALIZACION,USD,3.371,1244.5,610.84,633.66,0.5092,4195.21,181.2,
12/09/2026,9,2026,2026-09,F 004-00002309,026-0012251,OPP-0000000389,,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Construcción / EPC / Contratistas,Arnold Hernández,VENTAS-COMERCIALIZACION,USD,3.371,1360.0,642.22,717.78,0.5278,4584.56,190.51,
12/09/2026,9,2026,2026-09,F 004-00002310,026-0012255,OPP-0000000393,RM-24723,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Construcción / EPC / Contratistas,Arnold Hernández,VENTAS-COMERCIALIZACION,USD,3.371,2980.0,1001.17,1978.83,0.664,10045.58,3374.96,
14/09/2026,9,2026,2026-09,F 004-00002311,026-0012015,OPP-0000000065,,INDUSTRIA ESPECIALIZADA Y REPRESENTACIONES SOCIEDAD ANONIMA CERRADA,Servicios / Otros,Jeancarlos Castillo,VENTAS-COMERCIALIZACION,USD,3.371,3720.0,1846.64,1873.36,0.5036,12540.12,547.8,
