Cotizacion,Cod_Oportunidad,Fecha,Periodo,Vendedor,Cliente,Producto,Codigo,Marca,Cantidad,Precio_Unit,Monto_Sin_IGV
026-0012247,OPP-0000000386,2026-09-09,2026-09,Mario Li,MECANICA FINA INDUSTRIAL EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,JUNTA PLACA TL10B-NBRP-C / RIB GASKET GPHE / 3900487206,40100607,Alfa Laval,50.0,48.1,2356.9
026-0012248,OPP-0000000387,2026-09-09,2026-09,Mario Li,MECANICA FINA INDUSTRIAL EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,INTERCAMBIADOR DE PLACAS GPHE ALFA LAVAL T10-BFM 51 PL 316-0.5-NBRB,40100788,Alfa Laval,1.0,24749.0,24254.02
026-0012248,OPP-0000000387,2026-09-09,2026-09,Mario Li,MECANICA FINA INDUSTRIAL EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,INTERCAMBIADOR DE PLACAS GPHE ALFA LAVAL T10-BFM 51 PL 316-0.5-NBRB,40100788,Alfa Laval,1.0,20071.0,19669.58
026-0012249,OPP-0000000388,2026-09-10,2026-09,Jeancarlos Castillo,ROBOCON SERVICIOS S.A.C.,INTERCOOLER HORMIGONERA PUTZMEISTER MIXCRET 4 365-2908,40600142,Heatex,1.0,1780.0,1780.0
026-0012249,OPP-0000000388,2026-09-10,2026-09,Jeancarlos Castillo,ROBOCON SERVICIOS S.A.C.,RADIADOR REFRIGERANTE P/CAT C6.6 365-2909 BAP C/ALEROS,40600311,Heatex,1.0,1640.0,1640.0
026-0012250,OPP-0000000383,2026-09-10,2026-09,Mario Li,INDUSTRIAL EXCHANGER TUBILLAS S.A.C., INTERCAMBIADOR DE PLACAS GPHE T6-BFG 43PL-316-0.50-NBRB,40100786,Alfa Laval,1.0,3720.0,3720.0
026-0012252,OPP-0000000391,2026-09-10,2026-09,Mercedes Quispe,GESTION MINERA INTEGRAL S.A.C.,SERVICIO MANTENIMIENTO,91000001,,1.0,380.0,380.0
026-0012253,OPP-0000000390,2026-09-10,2026-09,Rintusac,CORPORACION INDUSTRIAL Y SERVICIOS GENERALES S.A.C.,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,1.0,1260.0,1260.0
026-0012254,OPP-0000000392,2026-09-10,2026-09,Rintusac,TRANSLOG PERU S.A.C.,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,4.0,1210.0,4840.0
026-0012256,OPP-0000000394,2026-09-10,2026-09,Mercedes Quispe,GESTION MINERA INTEGRAL S.A.C.,ENFRIADOR SISTEMA DE ACEITE HIDRAULICO CAT R1300G 351-1248,40600235,Heatex,1.0,1890.0,1890.0
026-0012259,OPP-0000000397,2026-09-11,2026-09,Rintusac,SERVICIOS EN CONSTRUCCION Y MINERIA DEL CENTRO SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,SERVICIO DE EVALUACION,90000011,,1.0,2390.0,2390.0
026-0012260,OPP-0000000398,2026-09-11,2026-09,Mercedes Quispe,NEXA RESOURCES PERU S.A.A.,JUNTA PLACA M6-NBRP-C GASKET II GPHE / 390084017206,40100205,Alfa Laval,30.0,40.12,1203.6
026-0012261,OPP-0000000399,2026-09-11,2026-09,Mario Li,GLOBAL PROCESSING SOLUTIONS S.A.C,INTERCAMBIADOR SOLDADO AC-70X-30M-F BPHE / 3287065788,40100552,Alfa Laval,1.0,1193.0,1169.14
026-0012264,OPP-0000000402,2026-09-11,2026-09,Mercedes Quispe,GESTION MINERA INTEGRAL S.A.C.,RADIADOR 371314 P/. HAULAGE TRUCK KOMATSU 16TD,40600327,Heatex,1.0,6680.0,6680.0
026-0012265,OPP-0000000404,2026-09-12,2026-09,Jeancarlos Castillo,SOLUCIONES EN PROYECTOS DE ALIMENTOS S.A.C.,JUNTA PLACA M6M-NBRP-C / PEAK GASKET GPHE / 3233014146,40100144,Alfa Laval,50.0,36.0,1800.0
026-0012266,OPP-0000000405,2026-09-12,2026-09,Jeancarlos Castillo,GESTION TECNICA MINERA E INDUSTRIAL PERU SOCIEDAD ANONIMA CERRADA - GESTEMIND PERU S.A.C.,SERVICIO REPARACION,92000001,,1.0,5390.0,5390.0
026-0012268,OPP-0000000408,2026-09-14,2026-09,Jeancarlos Castillo,GESTION TECNICA MINERA E INDUSTRIAL PERU SOCIEDAD ANONIMA CERRADA - GESTEMIND PERU S.A.C.,SERVICIO MANTENIMIENTO,91000001,,1.0,420.0,420.0
026-0012269,OPP-0000000407,2026-09-14,2026-09,Manuel Alvarez,SERVICIOS MINEROS RF S.A.C.,SELLO DESMONT. C / CANAL HEATEX 721201B V2,40600476,Heatex,20.0,1.85,37.0
026-0012269,OPP-0000000407,2026-09-14,2026-09,Manuel Alvarez,SERVICIOS MINEROS RF S.A.C.,SELLO DESMONT. S / CANAL HEATEX 721201T V2,40600477,Heatex,20.0,1.85,37.0
026-0012270,OPP-0000000403,2026-09-14,2026-09,Manuel Alvarez,UBF INDUSTRIAL SOCIEDAD ANONIMA CERRADA,ENFRIADOR HIDRAULICO BAP COMPLETO CMS1/O/24V/002 66337005,40600503,Heatex,1.0,1050.0,1050.0
026-0012271,OPP-0000000409,2026-09-14,2026-09,Jeancarlos Castillo,GESTION TECNICA MINERA E INDUSTRIAL PERU SOCIEDAD ANONIMA CERRADA - GESTEMIND PERU S.A.C.,SERVICIO MANTENIMIENTO,91000001,,1.0,320.0,320.0
026-0012272,OPP-0000000410,2026-09-14,2026-09,Arnold Hernández,GRUPO ASEGA S.A.C.,ENFRIADOR COMPLETO BAP HEATEX HTX-725-2-3 M/AC P/*040903010,40600443,Heatex,1.0,3670.0,3119.5
