Cotizacion,Cod_Oportunidad,Fecha,Periodo,Vendedor,Cliente,Producto,Codigo,Marca,Cantidad,Precio_Unit,Monto_Sin_IGV
026-0012071,OPP-0000000101,2026-08-07,2026-08,Arnold Hernández,RESEMIN S.A.,SERVICIO REPARACION,92000001,,1.0,760.0,760.0
026-0012083,OPP-0000000131,2026-08-12,2026-08,Manuel Alvarez,SHOUGANG HIERRO PERU S.A.A.,ENFRIADOR COMPLETO BAP HEATEX HTX-725-2-3 M/AC P/*040903010,40600443,Heatex,2.0,2690.0,5380.0
026-0012084,OPP-0000000124,2026-08-12,2026-08,Mercedes Quispe,BOART LONGYEAR SAC,ENFRIADOR DE ACEITE COMPLETO P/ JUMBO EPIROC S1D 3217751236 (copiar),40600399,Heatex,2.0,4540.0,7718.0
026-0012085,OPP-0000000126,2026-08-12,2026-08,Mercedes Quispe,COMPAÑIA MINERA COIMOLACHE S.A.,OTROS SERVICIOS,,,1.0,178.25,178.25
026-0012085,OPP-0000000126,2026-08-12,2026-08,Mercedes Quispe,COMPAÑIA MINERA COIMOLACHE S.A.,OTROS SERVICIOS,,,172.0,144.7,24888.4
026-0012085,OPP-0000000126,2026-08-12,2026-08,Mercedes Quispe,COMPAÑIA MINERA COIMOLACHE S.A.,OTROS SERVICIOS,,,2.0,158.9,317.8
026-0012085,OPP-0000000126,2026-08-12,2026-08,Mercedes Quispe,COMPAÑIA MINERA COIMOLACHE S.A.,OTROS SERVICIOS,,,1.0,158.9,158.9
026-0012085,OPP-0000000126,2026-08-12,2026-08,Mercedes Quispe,COMPAÑIA MINERA COIMOLACHE S.A.,OTROS SERVICIOS,,,1.0,226.48,226.48
026-0012098,OPP-0000000218,2026-08-17,2026-08,Manuel Alvarez,RADIADORES AREQUIPA S.A.C,SELLO DESMONT. C / CANAL HEATEX 721201B V2,40600476,Heatex,325.0,1.85,541.13
026-0012120,,2026-08-19,2026-08,Mario Li,INDUSTRIAL EXCHANGER TUBILLAS S.A.C.,JUNTA ANULAR M10BW-NBRP-C / PEAK RING GASKET GPHE / 3233016196,40100617,Alfa Laval,40.0,28.7,1148.0
026-0012123,OPP-0000000238,2026-08-25,2026-08,Jeancarlos Castillo,RESEMIN S.A.,ENFRIADOR DE ACEITE HIDR. HTXDC-011P-02-N-BW 24V DC (copiar),40600390,Heatex,10.0,450.0,4500.0
026-0012123,OPP-0000000238,2026-08-25,2026-08,Jeancarlos Castillo,RESEMIN S.A.,ENFRIADOR DE ACEITE HIDRAULICO PARKER 016 (A539016) (copiar),40600330,Heatex,11.0,1998.0,21978.0
026-0012123,OPP-0000000238,2026-08-25,2026-08,Jeancarlos Castillo,RESEMIN S.A.,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,20.0,1070.0,21400.0
026-0012123,OPP-0000000238,2026-08-25,2026-08,Jeancarlos Castillo,RESEMIN S.A.,ENFRIADOR OIL HIDR. BOWMAN GL240 1428-4TC (3P) COBRE,40200034,Bowman,7.0,2060.0,14420.0
